Date,Open,High,Low,Close,Adj Close,Volume
2016-05-02,66.025352,66.043587,65.268745,65.496643,51.419868,4717719
2016-05-03,65.496643,65.341675,64.557716,64.758263,50.840183,15700168
2016-05-04,64.812958,65.177589,64.266014,65.049973,51.069199,10184839
2016-05-05,65.049973,65.587799,64.557716,64.703568,50.797241,43070838
2016-05-06,64.703568,64.922348,64.266014,64.858536,50.918907,5998733
2016-05-09,64.858536,65.168472,64.266014,64.913231,50.961849,7783266
2016-05-10,64.913231,65.341675,64.448334,65.186707,51.176548,11961275
2016-05-11,65.186707,65.359901,64.657990,64.785614,50.861656,13075787
2016-05-12,64.785614,65.624260,64.876770,65.004387,51.033409,18001582
2016-05-13,65.004387,65.177589,64.721802,65.031738,51.054882,8237658
2016-05-16,65.031738,65.633377,64.812958,65.004387,51.033409,9512260
2016-05-17,65.004387,65.204941,64.375404,64.439217,50.589706,27019294
2016-05-18,64.439217,64.721802,64.266014,64.603294,50.718521,13265551
2016-05-19,64.539490,64.612411,64.056351,64.275131,50.460892,12021418
2016-05-20,64.275131,64.448334,63.910500,64.092819,50.317760,17850462
2016-05-23,64.092819,64.220436,63.855804,63.956081,50.210411,11991367
2016-05-24,63.956081,64.202202,63.946964,64.165741,50.375011,10787661
2016-05-25,64.165741,64.439217,63.819344,64.010773,50.253345,11518819
2016-05-26,64.010773,64.129280,63.819344,63.919617,50.181782,12428985
2016-05-27,63.919617,64.047234,63.719070,63.746418,50.045811,30817732
2016-05-30,63.801113,64.174858,63.737301,63.937847,50.196102,5836412
2016-05-31,63.937847,63.937847,63.445599,63.582333,49.916992,22851389
2016-06-01,63.582333,63.709953,63.409134,63.554989,49.895523,13200268
2016-06-02,63.554989,63.810226,63.172127,63.564102,49.902679,15172644
2016-06-03,63.564102,64.402748,63.573219,64.238670,50.432266,10291096
2016-06-06,64.238670,64.238670,63.782879,63.937847,50.196102,11942105
2016-06-07,63.937847,64.047234,63.801113,63.956081,50.210411,18926927
2016-06-08,63.956081,63.956081,63.719070,63.810226,50.095905,29017884
2016-06-09,63.810226,63.992542,63.691723,63.773766,50.067280,24205581
2016-06-10,63.773766,64.001656,63.627914,63.682606,49.995716,6145655
2016-06-13,63.682606,63.773766,63.354439,63.655258,49.974239,12072102
2016-06-14,63.655258,63.655258,63.226822,63.400021,49.773861,9792901
2016-06-15,63.400021,63.591450,63.400021,63.463829,49.823952,12122850
2016-06-16,63.463829,63.810226,63.363556,63.773766,50.067280,10975936
2016-06-17,63.773766,64.256897,63.773766,63.965195,50.217567,27757999
2016-06-20,63.965195,64.174858,63.819344,63.983425,50.231876,5408000
2016-06-21,64.083702,64.284248,63.810226,64.211319,50.410793,14693356
2016-06-22,64.211319,64.266014,64.065468,64.220436,50.417950,11824661
2016-06-23,64.220436,64.557716,63.810226,64.521255,50.654118,12353167
2016-06-24,63.810226,64.174858,63.536755,63.956081,50.210411,15025870
2016-06-28,63.956081,64.466560,63.445599,63.600567,49.931305,12286941
2016-06-29,63.600567,64.156624,63.719070,64.074585,50.303448,16375820
2016-06-30,64.074585,64.721802,64.038124,64.657990,50.761459,28231767
2016-07-01,64.657990,65.113777,64.539490,65.059082,51.076351,7340390
2016-07-04,65.244240,65.561096,65.244240,65.346748,51.302189,11399609
2016-07-05,65.346748,65.784760,65.234917,65.551773,51.463150,30168281
2016-07-06,65.551773,65.551773,65.048531,65.421303,51.360725,7985604
2016-07-07,65.421303,65.710205,65.206963,65.570412,51.477779,16187385
2016-07-08,65.570412,65.617012,65.234917,65.533134,51.448517,14352197
2016-07-11,65.533134,65.794075,65.234917,65.700882,51.580215,6204037
2016-07-12,65.700882,66.101608,65.607689,65.943184,51.770439,18356318
2016-07-13,65.943184,66.446426,65.467903,65.598373,51.499729,44603235
2016-07-14,65.598373,66.446426,65.887268,66.250717,52.011875,16924730
2016-07-15,66.250717,66.958984,66.045692,66.772598,52.421593,13446030
2016-07-18,66.772598,68.030701,66.166847,67.257202,52.802048,9279740
2016-07-19,67.257202,68.030701,67.098770,68.012062,53.394665,17644410
2016-07-20,68.012062,68.123894,66.185486,67.350395,52.875210,15924667
2016-07-21,67.350395,67.471542,67.005585,67.191963,52.750828,8461831
2016-07-22,67.191963,68.217087,67.098770,68.012062,53.394665,8713897
2016-07-25,68.012062,68.170486,67.555420,68.058662,53.431252,6543270
2016-07-26,68.058662,68.030701,67.834999,68.021385,53.401985,20169197
2016-07-27,68.021385,68.040024,67.378349,67.546097,53.028843,12981551
2016-07-28,67.546097,68.030701,67.378349,67.993423,53.380032,14622063
2016-07-29,67.993423,68.030701,67.480865,67.611336,53.080067,12642690
2016-08-01,67.611336,68.002747,67.098770,67.872276,53.284927,14422133
2016-08-02,67.872276,67.872276,66.903069,67.191963,52.750828,14308316
2016-08-03,67.191963,68.170486,67.191963,68.049339,53.423927,11970985
2016-08-04,68.021385,68.403473,67.592697,68.133209,53.489777,14820942
2016-08-05,68.133209,68.394150,68.030701,68.235725,53.570259,15504222
2016-08-08,68.235725,68.589859,68.040024,68.468704,53.753162,14790409
2016-08-09,68.468704,68.729645,68.300957,68.422112,53.716583,55685294
2016-08-10,68.422112,68.776245,68.030701,68.617813,53.870232,18908034
2016-08-11,68.617813,69.475189,68.450066,69.055824,54.214104,34665916
2016-08-12,69.055824,70.025024,69.055824,69.847961,54.835983,10993150
2016-08-16,69.847961,69.801361,68.655090,69.074455,54.228722,123585780
2016-08-17,69.074455,69.726807,68.701691,69.400635,54.484806,8594837
